"Title","Date","Rating","Content"
"Takashi Miike and Giallo Films Channeled by way of David Fincher","7 March 2005","9","Once the extremely improbable ending comes any viewer will feel sucker-punched in what I believe resembles any David Fincher film, most notably SE7EN, with a Takashi Miike spin. Which doesn't detract that for the most part it's claustrophobic, depressing, bleak, and filled with a growing sense of stomach-turning dread as the omnipresence of an unseen killer comes through, making us known anyone could be killed at any given moment, if his plans are not carried out to his satisfaction. Plans that largely include doing something unspeakable to solve a puzzle and thus, be set free.The problem with SAW its in the script itself, with plot holes galore, and character motivations/reactions completely unclear. The two main characters undergo the suffering victims are meant to and do so down to the end, but the supporting characters fair poorly. Danny Glover's character goes through being a broken man through the death of his partner to being badly obsessed with the Jigsaw Killer, and not once could I believe he would do most of the things he does throughout the film, like not requesting backup as he enters a deserted warehouse (in a flashback sequence), or allowing a clearly wimpy killer to get the best of him later on. Monica Potter plays Cary Elwes' wife who witnesses the killer point a gun to her daughter's temple while listening to her frantic heartbeats, but when she gets the chance to give him his just desserts she fails to do so because she was on the phone with her imprisoned husband. (It was a ""Huh?"" moment where motherhood somehow didn't enter into the plot logic, but then again, not many did.)Another thing which works against it is the fact that that for a genuinely interesting and even innovative premise like this one, SAW would be best as a film 20 - 30 minutes shorter with an equally shorter time span (the plot extends for an approximate five hours from start to climax), and then would the shocking twist at the end make some sense. As it is, it has the look and feel of a video game in which the menacing growl of a voice orders the victims through audio/videotape to commit a horrible and nearly impossible act in order to survive, with some rapid-fire MTV editing to add to the viewer's disorientation and Giallo overtones (which do work here if you think of Dario Argento's PROFONDO ROSSO or Mario Bava's BLOOD AND BLACK LACE). Here's hoping James Wan will make a much better film as he does have an overall good technique with his visuals."
"The Most Clever Horror Movie Ever!","1 August 2007",NA,"Not only does this movie create an extremely tense atmosphere the moment it starts, it has plenty of gore and violence to bombard your eyes, not to mention that it has one of the best twists seen in any horror movie.I watched this film alone at night with the lights off, expecting to be freaked out by it since I thought it was just another typical horror movie; but instead I was completely intrigued by the story line, and utterly drawn into the film for the whole 100 minutes. At the end I did not feel scared, rather, I felt something very few horror movies have to offer: satisfaction! This movie left me in a slightly disturbed but very thoughtful state. It did not give me nightmares, rather, it plagued my day-dreams; for two days my thoughts could not stray far from this film, that's how powerful it is.If you want a cringingly gory and violent horror movie, watch ""The Texas Chainsaw Massacre"" or ""Hostel""; if you want a nightmarishly scary horror movie, watch ""The Grudge"" or ""The Ring""; if you want a clever and disturbing horror movie with an excellent story and a great twist, watch ""Saw""."
"A Heritage Damaged","16 June 2013","9","Two men wake up in an empty room and finds themselves being manipulated in to playing a sadistic game by a mysterious character called JigsawLooking at the above short summary you can how easy it is to pitch to the Hollywood studios . Yes I know SAW started out as an Australian short film by director James Wan and screenwriter Leigh Whannell but even so the premise alone is enough to intrigue the most cynical studio boss and make them want to develop it in to a feature length movie . It's easy to forget but the original SAW was marketed as a smart thriller with a twist ending and certainly my own reaction on seeing it was "" Wow I never expected that "" . This was very much an era inspired by THE SIXTH SENSE where films sometimes liked to surprise an audience . Despite the often graphic violence seen in this movie it's the shock twist at the end that led to the film gaining very good word of mouth on its initial release The problem is that once you know the twist ending it doesn't really stand up to repeat viewings . Worse than that the original SAW's reputation has been greatly damaged by the large amount of sequels that followed it . None of them really concerned themselves with cerebral plotting and most of them concerned themselves with a function of continuity that would see yet another sequel set up . Perhaps worst of all each sequel tried to out do its predecessor by the amount of gore on offer . Indeed the phrase "" Torture porn "" became more and more increasingly used with the franchise and it's difficult to defend the later films from this which lurched from one gory set piece to another featuring a terrified victim suffering a cruel and graphic death SAW was a film that succeeded as a gory mainstream thriller when it was released in 2004 . It's easy to dismiss it just another horror film but that's to ignore and sadly forget that it had a market outside the normal teen horror crowd . It's also a film that suffers from having a franchise started after it which has damaged its heritage"
"Disappointing","23 January 2005","9","I have to give this movie a 4 because of a couple of things.1. What I'll call the ""stupid victim syndrome"". If you have the killer on the floor and you have his gun - shoot him please. If you are a cop and you have your shotgun pointed at the killer's back - shoot him please.2. When you are in a high stress situation and you have your finger on the trigger of a gun - your first instinct is to squeeze. This is one of the first things they teach you in handgun training and the reason that you don't put your finger on the trigger until you are ready to fire - ask any hunter or infantryman. If you are electrocuted, your muscles should also contract - making you squeeze your finger.3. It's really hard to lay on the floor completely still for 8 hours without 2 other people - one of them a doctor - not noticing that you aren't dead. Even more so if you are supposedly dying of a brain tumor and were in the hospital just a few months earlier.4. Technically, the killer did kill one of his victims - the guy he injected with poison that had to get the antidote. If you poison someone, that is murder.5. What was Adam's lesson that he was supposed to learn? Yes, the doctor needed to be there, but what was Adam's crime? Maybe I just missed something.Other than those things, I would have given this movie a higher grade. The plot was pretty good, and the ways the killer chose to kill his victims were very inventive. I can even forgive the terrible acting on the doctor's part - the scenes with his family were enough to make me sick. The cinematography and soundtrack were very good, but the ending seemed contrived and just didn't work for me. Thank goodness I didn't have to pay to see this or I would have demanded a refund."
"Just See SAW!","6 December 2004",NA,"Wow. The critics weren't wrong. Not since seven has horror been portrayed so majestically. From the first minute to last this film twists and turns you till you feel rather poorly. Just like 'Se7en', the all-round Grittiness that director James Wan creates disgusts and enthralls. Just like 'Se7en', there is a H U G E twist that makes your blood curdle. A lack of star names helps the movie flow as the pace builds to a finale that won't be forgotten by this viewer in a hurry! I still can't sleep. It is well scripted, well acted, and, for everyone who guesses the killer after the first few minutes, keeps you guessing right up to the final reel. It is better than Seven for shock value. It is not over the top gory but there is a final scene which makes you sweat. Very highly recommended!"
"Don't confuse this movie for its sequels- this one's actually good","27 March 2020","7","The Saw movies tend to get a pretty bad rap. Most people think of them as senselessly violent and overly gory torture fests with no actual interesting plots or characters. Granted, some of the movies are like that. But, when you watch this 2004 original, leave those expectations at the door, because this movie is just a genuinely good thriller and mystery.This movie has an intriguing premise of two strangers waking up in a room, handcuffed to pipes. As the move progresses, this mystery unfolds as we learn more and more about these two characters and about the situation that they are in. There are many twists and turns as the movie unfolds, but they never feel forced. These twists feel organic and are truly shocking. Because of this, I don't think of this movie really as a horror movie. It feels more like a mystery thriller, and it draws you into its premise. However, it is a very tense movie and there are some frightening scenes, so it does succeed as a horror movie as well.If gore is the main thing keeping you from watching this movie, I would give it a try. Granted, there is gore in this movie, but it's not nearly as much as you would expect from a movie these days with Saw in the name. The gore is never intrusive or over-the-top, and it certainly is never meant to be the point of the movie. If you cannot watch gore at all, there may be a couple of scenes where you'll want to close your eyes, but there is still so much to enjoy from this movie outside of those moments."
"Sicko movie, Go!","31 January 2005","7","A sicko movie whose nastiness is almost topped by its weirdness...so obviously any true horror fan worth their salt needs to seek it out! The story is about a surgeon and a photographer who wake up and to find themselves shackled at opposite ends of a nasty-looking toilet. Don't want to say too much but plenty of ugliness ensues. This movie has the perfect mix of scares and a really bizarre plot. The movie's got a decent budget for an indie horror (a little over a million, i think) but it's pretty small for a film that got such a big release. I hear it made a ""killing"" at the box office, so TAKE NOTICE Hollywood! People want to see this stuff. Go!"
"An interesting concept","13 April 2020",NA,"I've always been meaning to watch this film.I have to say that while it is an interesting concept, there are several instances where things would have had to go exactly right for Jigsaw's plan to work.On top of that is people not using guns when they were in a situation where it was shoot first ask questions later. I found that extremely annoying! And I thought America was a gun-mad place where shooting first happens frequently.Obviously not in the Saw universe...6/10 for being OK, but this movie isn't half as clever as it thinks it is."
"I +Saw+ it last night","11 June 2005","8","""Saw,"" a film that was originally planned for a straight-to-video release but after receiving positive nods at test screenings, was finally given the green light in October 2004 - just in time for Halloween. ""Saw"" contains one of the those plots that shows you everything it's got up its sleeve, then doubles-back on itself three-fourths of the way through and reveals something entirely new.It's not hard to see why this almost hit the straight-to-video fodder list. I mean, people will closely observe that it obviously contains the traits of its successors, namely ""Seven"" (1995), and that may be all the ammunition the haters will need to trash it. Already, I see that the IMDb voters have averaged ""Saw"" a 7.5, with those people who have rated it with an ""8"" or a ""10"" being neck-and-neck at the polls.But I begin with reassurances that ""Saw"" is a genius thriller, if not entirely original or daring. The film does its best to exploit the claustrophobia and mounting tension that collects as it progresses. ""Saw"" will also make you think twice about bladed objects as well.Ironically, the title has very little to do with plot, as there is no chainsaw-wielding maniac on the loose as the ghastly cover art of a severed foot would imply. The only saws here are the ones the two main characters Lawrence (Cary Elwes) and Adam (Leigh Whannell, also the film' screenwriter) have been given.The two men awaken to find themselves chained to lead pipes in a decrepit public bathroom. In the middle of the floor, is a dead body that's surrounded in a pool of its own blood, with a gun in one hand and a tape recorder in the other. As it would turn out, they're the latest victims of a serial killer known as the ""Jigsaw Killer.""Jigsaw has a nasty little way of torturing his victims by trapping them in a situation where they have to kill if they want to survive. As Lawrence explains, technically Jigsaw is not a killer, simply because he hasn't killed anyone; the victims do that for him. As one fortunate victim observes, who survived her ordeal, she is bound to a chair with a reversed bear trap-like device strapped to her head with pliers wired into her upper and lower jaws. A timer is on the device and if she does not locate a key before it runs out, her mouth will be ripped open and no more pretty face. In order to get out, she must open up the stomach of a dead man lying on the floor next her to get the key.As Jigsaw ever so carefully points out to his victims, he doesn't just choose them at random. To him, they're all perfectly immoral individuals and he uses their immorality to set up horrific situations where the victim rarely survives the trap; in essence, life is its own reward because Jigsaw's victims don't value it, as he explains to the one young woman lucky enough to fight through his plan. Also on the case of Jigsaw, are two detectives Tapp (Danny Glover) and Sing (Ken Leung), who bring forth the news of Jigsaw's previous victims in one particularly gruesome flashback sequence.Lawrence is pretty well aware of the case of Jigsaw, as even once he was considered a suspect by the police. As you would have it, Adam is not especially trustful of Lawrence being that he seems to know a lot and is not reporting many details to him. They realize, however, that if they are going to survive this nightmare, they're going to have to play into Jigsaw's game, observe the clues he's willing to give them, and ultimately make it out alive.""Saw"" was directed admirably by James Wan and written by Whannell, who also makes an effective victim alongside Elwes. Elwes, a highly underrated actor, is given a chance to shine here, even though this really isn't an actor's movie, as it is more in the hands of the director. However, we do get a sense of the desperation of the two leads, who soon realize that they're not the only ones trapped in this madman's game.""Saw"" does benefit from its moody atmosphere, which may cover up any of the film's shortcomings. Towards the end, it does lose pace a little bit as things seem to be spiraling down the haunted house route, but quickly regains momentum as it draws to a close. I know that despite its flaws, I was glued to the seat and really ""in"" the film's tight tension, which thankfully doesn't let up.Is ""Saw"" a genre classic? Certainly. Is it a classic like ""Seven""? I don't know. There's a lot to consider when pondering a question with so much baggage like that one. I liked it, but I'm not so sure about the news that a sequel is in the works. This seems a lot like a stand-alone-type movie, that of which doesn't need to get bogged down by the weight of unnecessary sequels.8/10"
"Very good","13 October 2021","8","This movie is a very good and one of the best thrillers and one of the most interesting and tense ones. Very unique story line and extremely tense and entertaining, it kept me guessing what is going on and how are things going to go. Very well done story and directing, good acting, great effects, and a great twist. Very well done and entertaining."
"Well made horror/thriller, two thumbs up","10 December 2004",NA,"When two men, wake up and find themselves chained to a bathroom pipe, with a dead body lying in between them, they soon realize that they are prisoners, in the secure lair of a serial killer, nicknamed 'Jigsaw'.This film was, in my opinion, exciting, thrilling, and an overall entertaining film to watch. It delivered the necessary chills, to keep its audiences fully awake, and engaged. This was an enormous achievement for Aussie newcomers  James Wan, and Leigh Wannell. The two have created a well-deserved horror/thriller, without the necessary clichés.The film is not too scary that it becomes unwatchable, so the full potential of its enormity will not be missed. definitely two thumbs uo for me."
"A puzzling game worth playing","24 November 2017","7","Finally saw all the 'Saw' films prior to seeing 'Jigsaw' (as part of my wanting to see as many 2017 films as possible this year, during a quieter and less intensive period). Heard a lot about the films, good and bad, but wanted to see them for myself to know what to expect.The films as an overall series are a very mixed bag. The first 'Saw' is very problematic but is one of the better films of the 'Saw' series. It is very easy to see why people will dislike it, and no it is not because of the full throttle horror-like elements that are not for the faint hearted. Some of the story is ridiculous with large lapses in logic, Danny Glover's character's actions will have one screaming in frustration at the television screen. Some of the script is tight, other parts are half-baked and silly and Elwes' character's back-story had some taut tension but that it had some melodramatic parts with frustrating character behaviour.Some of the acting is not good. Cary Elwes seems to be thinking like he's acting in a very over-heated melodrama that would have been out of date even in the period when they were in fashion. Danny Glover's performance is also a mess, with a mix of over-compensating and not looking interested. Even for the film's mood, some of the editing is chaotic.However, for a film that didn't have a high budget 'Saw' visually doesn't look too bad on the whole, effective even. There is a real sense of unsettling claustrophobia induced in the lighting, setting and photography. Music has its eeriness.Not everybody fares badly in the acting. Michael Emerson has an unnerving presence and Monica Potter and Leigh Whannell also do a decent job. Then there is Tobin Bell, not easy to forget him after this film. James Wan does more than competently in the director's chair, even with the inexperience.Despite its ridiculousness, the story is also edge-of-your-seat and highly atmospheric. There is genuine dread, some truly imaginative traps and kills and much of it throughout is disturbing and creepy. 'Saw' is notable in particular not just for the traps/kills but also for its bold twists, the character of Jigsaw (the modus operandi, impulse and justification setting him apart from most characters of his type) and an unforgettably shocking ending.Overall, very problematic but effective. 7/10 Bethany Cox"
"BRILLIANT","23 October 2018","7","I love this movie man. I just love everything about it. Not only does this movie create an extremely tense atmosphere from start to end, it has plenty of gore and violence to bombard your eyes, not to mention that ENDING. Man I LOVE that ending. With unknown actors and they all did and incredible job acting in these types of situations. This film was, in my opinion, exciting, thrilling, and an overall entertaining film to watch. It delivered the necessary chills, to keep its audiences fully awake, and engaged. This was an enormous achievement for both James Wan, and Leigh Wannell. The two have created a well-deserved horror/thriller, without the necessary cliches. The film is incredible and it start from Saw 2,3,4,5,6, Final Chapter, Jigsaw, and now in 2020 Spiral. I don't care what anyone says Saw is the best of the series and the best horror movie ever. 10/10. Love it."
"He doesn't want us to cut through the chains,,,","18 May 2021",NA,"I remember seeing the trailers for this, and at the time it was unlike anything we'd seen before.1.2 mil budget, only a few actors you'd know by name, and one CRAZY plot. Who could pull this off? Well,, James Wan!!! Now he's a little more well known,,,Anyways,, imagine waking up to find you've been chained up in a room with a stranger (who's also chained up), and you're only explanations for your predicament are waiting to be found throughout the room."
"Unlikelihoods","22 October 2005","10","The main problems of 'Saw' are related to the tremendous script mistakes that only a uncritical spectator will just obviate. The main question is what's is the purpose of the killer in his lying in the middle of the floor? The film tries to show that the killer's aim is to cause evil and destruction in his victims, he loves to play with the lives of other people and to feel control over their the fears and debilities. So why does he just pretend to be dead between the two main characters? A tremendous unlikelihood: can a man pretend to be dead for more than one or two hours without moving a single muscle or even without breathing in order not to be discovered by two men who are in the same room? It has not sense at all except to be the final (d)effect of the movie. The killer seems to have always the control along the plot and if it's lying like a dead body this can't be possible. Finally, it doesn't work. The right place for the killer should have been a darker and untouchable shadow behind the false shadow (the male nurse) but not the floor of the white room. The director shouldn't have showed the killer's face and maybe the site where he is hidden. Then, the film would be a quite good thriller. However, 'Saw' is just a fiasco. Hitchcock, please, come back."
"NA","NA","10","NA"
"NA","NA",NA,"NA"
"NA","NA","6","NA"
"NA","NA","6","NA"
"NA","NA",NA,"NA"
"NA","NA","10","NA"
"NA","NA","10","NA"
"NA","NA",NA,"NA"
"NA","NA","7","NA"
"NA","NA","7","NA"
"NA","NA",NA,"NA"
"NA","NA","4","NA"
"NA","NA","4","NA"
"NA","NA",NA,"NA"
"NA","NA","10","NA"
"NA","NA","10","NA"
"NA","NA",NA,"NA"
"NA","NA","8","NA"
"NA","NA","8","NA"
"NA","NA",NA,"NA"
"NA","NA","6","NA"
"NA","NA","6","NA"
"NA","NA",NA,"NA"
"NA","NA","8","NA"
"NA","NA","8","NA"
"NA","NA",NA,"NA"
"NA","NA","6","NA"
"NA","NA","6","NA"
"NA","NA",NA,"NA"
"NA","NA","9","NA"
"NA","NA","9","NA"
"NA","NA",NA,"NA"
"NA","NA","7","NA"
"NA","NA","7","NA"
"NA","NA",NA,"NA"
"NA","NA","10","NA"
"NA","NA","10","NA"
"NA","NA",NA,"NA"
"NA","NA","7","NA"
"NA","NA","7","NA"
"NA","NA",NA,"NA"
"NA","NA","3","NA"
"NA","NA","3","NA"
"NA","NA",NA,"NA"
"I loved it","10 February 2005","10","Movies like Saw are the ones that makes us believe in the horror genre. It is because of such movies we like to see horror/thriller movies. Let me tell you that after watching Saw I wanted to buy the ticket and watch it again because after a long time I got to see a real gripping and tightly directed horror movie. The movie is very exciting and has a lot of goosebumps. However, if you are a faint of heart please do not see this movie as it has a lot of gore/violence in it which will make you jump out of your seat. I just can't wait for the DVD to come out as I really want to buy it. My recommendation to all of you is to watch Saw and have a good time like I did. Also, the movie has a great twist. 10/10"
"An Ending You Will Not See Coming!","6 May 2020","10","My favorite franchise of all time...
Starts out with two regular Joes stuck in a random grousome room. Movie gradually becomes exponentially more interesting as the plot unfolds, leading to (in my opinion) the most interesting serial killer of all time. One really frightening scare and phenomenal acting."
"Tops!!!","14 December 2004",NA,"Finally a horror/thriller movie that has a plot and scary bits! Most go for the scare and have no plot, so when they aren't scary they suck! This one is good from either plot side or scare side. This movie is tops!! I've often thought about the awful things that killers could do to people, but usually just shot/stab them - this movie does some of those things! It really made me cringe in some parts and I could really ""feel"" how terrified the characters probably were cause of the great acting.I just didn't see that ending coming, that just topped it all off. At one point i figured it was just going to end in the same old ""big fight with lots of blood"" scene but, WOW! that ending was the icing on the cake! I'm spun out but the whole thing - definitely a DVD buy for me. 4/5"
"Saw (2004)","13 March 2005","10","A delightful little horror/thriller, whichever you like, with an interesting set-up. Two men wake up in a bathroom, chained to pipes, with a dead body between them. The two then work on a way of getting out of their, while one of them recalls an investigation from five months ago. Some of the ideas in this film are morbidly brilliant, such as the ways in which the killed ""kills"" his victims. The razor wire, and the combination on the safe being two priceless moments. You may have already noticed however that this film borrows heavily from ""Se7en"", with original ways of killing victims, the whole purification of the victims, a scene where two cops nearly catch the killer and the overall dark and macabre feel. This is in no way an insult towards the film, as it does have enough originality to keep you interested, and if you are going to borrow from any dark serial killer thriller, make it ""Se7en"". Cary Elwes and newcomer Leigh Whannell are the two unfortunate souls stuck in the khazi together, and start off suspicious of one another and then forming a rather endearing bond. Things get a bit too intense for Elwes at the end, meaning he loses all rational thought, and starts screaming and shouting but with a high level of authenticity making the film very almost 'moving'. Some characters seem pointless in the film, and a lot of situations are shoved in purely for red herrings sake. Some of the actors are just underused, such as Danny Glover, which is a shame because apart from his character being pointless, he is very good. The film is good for at least a few watches, the first racking your brain to work everything out, the second to see what you missed and even after that it is still enjoyable. Do not expect anything too different, but with a little low budget class. Wan is a brilliant first time director, never showing too much (could blame the budget) gore, and keeping the tension high. He dos however give in to some music video techniques with spinning cameras, screaming heavy metal, and sped up footage. We can ignore this though, because we just want a dark, spooky and bizarre horror with more than a few memorable set-ups."
