"Title","Date","Rating","Content"
"Very good, But not Disney's best like everyone claims","10 February 2014","9/10","The Lion King is viewed by most as the peak in Disney's renaissance period and remains, to this date, the highest grossing 2D animated film of all time. With Disney on such a high expectations were, while this was increased by the superb vocal talent and wonderful animation, and for many those expectations were met. Though a lot are going to disagree with me, I have to come out and say that I think the film is kind of overrated. That doesn't mean I dislike it as a matter of fact I agree that it does have fantastic elements, but for the heaps of praise it gets I'm not sure if it holds up well enough.The story is effectively a toned down Hamlet. A lion prince named Simba is born, meaning that his cruel uncle Scar is now second in line to the throne. Scar plots to kill both King Mufasa and Simba, succeeding in killing Mufasa and making Simba believe he was at fault. Simba flees the kingdom and remains in exile for a number of years, until figures of the past challenge him and he must return home to take his rightful place as king. The story is a very interesting one, it is a much more mature than you would expect from Disney and I really enjoy it for that reason. Everything that happens seems to happen for a reason and there isn't any filler as far as the plot goes. After all this is a very big story and telling it in a cohesive mature manner works very well.The other impressive feature is the animation. It's clear that the animators put a lot of work in to create such a visually pleasing place for this to all happen in. The colours used give the place such a bright beautiful look and it is actually quite authentic looking too. Scenes of bird flying over the vivid landscape or of the sun shining over the land are so beautiful to look at. The character designs were also very good, like the contrast between the powerful Mufasa and the slimy Scar. The sheer scope of things is another wonderful aspect, such as when Scar's paw first comes down or the later Wildebeest stampede. Even things like the backgrounds look massive which gives an extra size to this world.The characters are rather hit and miss. Simba is a bit of a bland lead, he is just a kid for most of it but he does come off as a bit too boring and even obnoxious at times. He doesn't get any better the older he gets and Matthew Broderick's voice only adds to the dullness. Mufasa is just a brilliant character. He is designed wonderfully, has some really interesting characteristics and James Earl Jones' booming voice is perfect for it. A lot of people rate Scar as a top villain yet for me he's just decent. He is enjoyably devious and Jeremy Irons clearly has fun with the role, but he does come off as not that smart and a bit snivelling in the end. Zazu is very funny with Rowan Atkinson delivering some good lines and Rafiki is also very likable for coming across as a good friend. I'm not a big fan of Timon and Pumbaa as they come off as a bit annoying and wink at the camera too much, though they do have some amusing scenes. The Hyenas were daft but entertaining, while I think Nala was underplayed too much.I do have issues with the film. The message that it is trying to get across is an interesting one in how we must learn from the past to move forward. The problem is that when Simba confronts his past nobody believes him until Scar says what really happened. Looking at this you can't help but feel Simba would have been better off lying and that harms the whole point of the message. Also I think a lot of the comedic elements feel very misplaced. For a story as grand and serious as this I can't help but find that the comedy is too trivial at times which is distracting. As mentioned Timon and Pumbaa just feel a bit misplaced because they're jokes are slightly too silly. If done well, like with Zazu or the hyenas antics, then its nice relief but otherwise it doesn't work.Also I really find that the songs are a mixed bag. 'I Just Can't Wait to be King' and 'Can You Feel the Love Tonight' just come off as your typical pop songs and there isn't anything truly catchy or memorable about them. 'Hakuna Matata' is another one everyone loves, but for me it's just annoying. On the other hand however, 'Circle of Life' is a brilliantly grand number that opens the film perfectly and 'Be Prepared' is really catchy with some very enjoyable singing from Jeremy Irons. Elsewhere there are some really memorable sequences here. The circle of life opening is something that everyone should remember, the wildebeest chase is visually stunning as well as pulse-pounding, Simba talking to Mufasa in the clouds is sadly beautiful and the final battle sequence does have some great images. Also I thought it was very brave decision to actually show the body of Mufasa after his death. In fact going on from that the movie does have a very strong emotional core running throughout that is very welcoming and smartly used.On the whole I do think that The Lion King is a very accomplished piece from Disney, I just don't find it as engaging as most people do. This is a big story with a lot of big elements, I just find that whilst most of the work some of them aren't quite as successful. I do wish other Disney films were as acclaimed as The Lion King, but I still find an entertaining and well-made film."
"great film","23 August 2017","7/10","this was, and still is,a great movie I love it, and hope that everyone gets to experience it for themselves, I've watched it many times and it is always good no matter how many times you have seen it,the songs are great and so are all the characters and the story is incredible, great for all ages and I really recommend it to anyone who hasn't already watched it."
"one of the best children's movies from my child hood","16 October 2012","3/10","This movie was such a sweet heartwarming tale. It had its funny moments its action it really is a perfect movie for the kids. And for the adults the acting was great and it had a very good story very predictable but not when I was a kid.This movie is about a young lion cub ""Simba"" who is tricked into thinking he was responsible for his fathers death so ridden with guilt he leaves the pride and goes off on his own. He grows up on his own but meets lifelong friends on the way.This was such an adorable tale. Everyone is sure to love this movie exspecially the kids but the adults will find it very sweet and heartwarming as well."
"Overrated pap","27 December 2011","10/10","A little balance, I hope, to offset the rants of some of the single-star-ers: after years of having ""The Lion King"" simmering in the background of my film-going conscience, we finally bought it for the kids for Christmas and watched it tonight for the first and, at least for me, last time.The Simba/Kimba thing has been mentioned here enough, so I'm going to focus on this from a story-and-character point of view.  half-hearted (read: rather pathetic) attempt at explaining away the ""we eat animals but when we die we become grass so what goes around etc."" concept (or restated, the prey animals know their place in the big picture and consent to being eaten  nice if you're the lion), but let's not get too deep into the mythologies this film supports (patriarchy-as-common-sense, benevolent dictators, ma-'n'-pa family model as the ideal, Africa as one big national park)  poor character development. Simba is just shallow and his change of heart towards the end is cheesy.  by comparison with films like ""Toy Story"" or even the ""Ice Age"" franchise, the writers simply seemed to lack imagination. Perhaps they cancelled each other out, considering that this was definitely not the brainchild of a single writer whatever, the result is pretty watery  Scar is barely scary, nor is his scar ever explained. He comes off as being effete and lazy and conniving, which is fine, but like all the other characters here he's completely two-dimensional from start to finish. A mediocre villain at best.  A lot of the Americanisms in the dialogue left me cold: this was clearly pitched at a Disney-loving US-English audience  Mostly cheesy humor. Second time I've used cheesy here, must mean something. Lots of mediocre puns, a few good ones. And somehow, references in films like this to classic lines from far more adult and accomplished films like ""In the Heat of the Night"" and ""Taxi Driver"" (both get a nod from Pumbaa in his ""Are you talking to *me*? -- THEY CALL ME MR. PIG!"" sequence) come off as cheap and Disney-American in the worst sense. Some brightish moments when Fuzu is the unwilling object of a ""pounce"" lesson and the look on Nala's face after her dip in the pond, some decent character voice work from Rowan Atkinson and Jeremy Irons despite the lines they were given.  Characters appear at opportune moments with no sense of them being there for any other reason than an easy out on the writers' part: Musafa rescuing Simba from the hyenas, e.g. or Simba rescuing Timon and Pumbaa from Nala.  The orchestral music is overblown, the songs largely forgettable. Strange, considering the involvement of Tim Rice. I'll leave Elton out of this: apart from ""Tommy"" I was never a fan. Although Timon's anti-romance intro to ""Can you feel the love tonight"" is pretty good (just the intro, though).  Just why the heck did the river run dry just because Scar took over the pride?  For a ""family film"" this is pretty high on the violence scale, not least the slow motion and totally uninspired slugfest between Simba and Scar.  Enormous plot holes and missing info: Did Simba really get that big and strong on bugs alone? Why did Scar have so much access to little Simba when Mustafa obviously mistrusted his brother? Where was Simba's mum all this time? Just how did Simba pull himself back onto that rock at the end when Scar had him dead to rights? Etcetera.  Some egregious examples of explaining away plot points in the dialogue, especially how Nala just happens to stumble across Simba again.  Cloying and sentimental far too much of the time.Okay, that's my two cents for now. I could go on, but would it be worth the effort? The best I can hope for is to persuade a couple of potential viewers to make better use of their time than with soft-boiled tripe like this."
"simply a wonderful, heartfelt tale for all ages","14 March 2002","10/10","Delightful animated feature from Walt Disney Pictures about a naive young lion cub destined for greatness. Born the son of a beloved and authoritative king he's groomed to be the next ruler of the kingdom, but along the way he encounters tragic detours at the hands of his villainous uncle and scheming hyena henchmen. Years later—as an adult—he decides to embrace his destiny and take his proper place in the Circle of Life. Warm, intelligent, laugh-out loud funny film is a triumph in every aspect; unforgettable songs, snappy dialogue, remarkable animation, and a stellar cast of voices make this a treat for all ages. A rousing adventure that you can enjoy again and again, and arguably one of the finest animated films ever made. ****"
"A Timeless Film","21 July 2005","10/10","Ah...""The Lion King."" There's so much I can say about this movie but all my comments always come down to one thing: this movie is beautiful. Pure genius. A timeless story. I might be a little biased in my beliefs, seeing as the first movie I remember seeing in theatres is ""The Lion King"" and I still watch it on a regular basis and know all the words but I'm sure there are plenty of people out there who agree with what I have to say. ""The Lion King"" is beautiful; hands down, it is the best Disney film ever created.The story is something that everyone can relate to, whether they are a lion ;) or not. Simba is destined to become king one day and just can't wait to rule the throne; everyone can relate to wanting to grow up and become an adult, to do whatever they want and not have to worry about anything. His father tries to teach him that, despite the fact that he will one day be grown and king, his life will not be easy. Simba has to learn his lesson the hard way when his Uncle Scar, who, too, wants the throne, kills his father and convinces Simba that it was his fault. Suddenly, growing up doesn't seem so great anymore (I can *really* relate to that).And so, Simba flees his home and comes across Timon and Pumbaa, two other outcasts. They teach Simba the ""Hakuna Matata"" lifestyle, something that idealizes a life free of stress, worry and responsibility. Now, don't we all wish we could live this way? No worries for the rest of our days... But when Simba's childhood friend Nala returns, he realizes that he can't live Hakuna Matata forever, for he does have a responsibility to his pride and his homeland. Simba understands that he must grow up, as we all do, and does what's right.The songs are catchy and fit the movie well (the original songs, of course, though ""The Morning Report"" isn't too bad) and the score is haunting and beautiful. Along with the art work, the music captures the heart of Africa.With the types of shows that children watch these days (boy, doesn't that make me sound old?), it's a wonder they'll learn in virtues and values at all. ""The Lion King"" is a great teacher when it comes to learning lessons that will carry throughout their lifetime. ""The Lion King"" teaches children that it's all right to be a kid but you must understand and accept responsibility for things you can and cannot control. Everyone has a place in The Circle of Life and we must find it; the film also teaches that we will encounter bad and even terrible things during our lifetime but we must accept them and move on. These are important, meaningful lessons; heck, I even used them in my SAT essay! ""The Lion King"" is a film for every generation and is a powerful film that all children should see. I'm past my childhood now and I still watch it whenever I get the chance; I look forward to sharing it with my children.A timeless film!"
"this movie is great!!","17 November 2005","9/10","I think think this film is excellent and nothing can ever relate to it. I will love this movie my whole life i know i will!! Its great :) The music, the sounds, the characters,the whole movie is great. Its definitely great for kids and it always will be this movie will never grow old. People will still like it when they are 60+. I bet there are people sixty and over who do love this movie.. I am glad that i grew up with this movie its great and i just have to say fare play to the directer i love it!!! I am happy i found this sight i think it is great it give the public a chance to see how there favorite movie is rated by people all over the world. And i think it is excellent the public is aloud to vote!"
"Its a 10","16 July 2017","10/10","""The best movie I ever watched in any form or any in language"".No, I am not exaggerating! It is the best movie ever, whether in human form or in animated. I can't find a single flaw in The Lion King (1994). Someone could argue that the story is not original, Disney just twisted it. Someone could also argue that i didn't watch that much of movies to judge ""The Best Ever"" but as I said, this the best movie I ever saw. The story is nice and free flowing and without any unnecessary bumpers. One can not recognized the voices behind the characters, because the characters are so prominent. Music! Let me say I am not very fond of English pop songs, but I could hum almost most of the songs of this movie, so I would say, music is that nice. Animation is superb, landscapes are eye catching, dialogues are sharp and comedy is at its best. What more might I say?Beside everything, you can say how crazy I am about this movie by my name. Enjoy the movie, don't leave the seat. Hakuna Matata!"
"A Modern Classic","5 June 2014","10/10","The Lion King is by general consensus the greatest Disney film from their glorious renaissance period (1989-1999), and is undoubtedly worthy of such recognition. Notably, it is the highest rated Western animation on IMDb's own Top 250, which while flawed and imprecise is a good indicator of quality.A loose adaption of Shakespeare's Hamlet, The Lion King is visually stunning, the peak of hand-drawn animation, with a strong voice cast and a wide selection of memorable tunes. It is a tight ~80 minutes, and one sometimes forgets just how quick the movie moves, yet it does so deftly. The characters are well defined, and the arc of Simba's growth, the core of the film, evolves satisfyingly. One could question whether more time should have been spent on Simba's growth in the middle act (there is incredulous imagery as Simba grows exponentially next to the stasis of Timon and Pumba), but to meander so would ask it to be an entirely different film.While it is not uncommon for a side character or two overshadow the main (see the Genie in Aladdin), Matthew Broderick and Jonathan Taylor Thomas (adult and young Simba respectively) are at risk from nearly all of the phenomenal cast. James Earl Jones is a commanding presence, and Jeremy Irons as Scar steals every scene. The 'fools' of the film, be it Timon & Pumba, the Hyena trio or even Zazu, all provide the levity believably, that would otherwise leave an incredibly sombre film. Nala is powerful, though one must note that she seems at times far more capable than Simba to actually achieve anything. Nevertheless, Simba's coming-of-age arc, while predictable, is enjoyable, helped along by fantastic charisma and choice songs.The fact that the film has spawned a wildly successful musical gives a strong indication of the quality of the music, but what is less said is how beautiful the film is. As The Lion King was being released, works were already moving away from hand-drawn animation, with Toy Story released a year later. And The Lion King might be the peak of hand-drawn, with an enormous palate of creativity and variety. The opening vista for 'Circle of Life', the bursts of colour in 'Can't wait to be King' and the sombre tone of 'Be Prepared' all are gorgeous. Yet, special mention must go to the Stampede scene, one of the finest scenes of animation ever.One thing I've developed from multiple viewings is how Timon and Pumba might be the weakest part of the movie. First, their 'life lessons' are essentially reversed by Rafiki. Certainly they are qualified to the point of being narratively sidelined. They feel contrived and even a detraction from the meat of the movie. Their role is the fast food portion of the film- the quick fix over more meatier bits of the film. The entertainment provided is enjoyable regardless, and is essential to round off the movie as Disney.The Lion King is endlessly re-watchable, catchy, fun, while remaining a fantastic piece of cinema and an invaluable part of the Disney canon. Magnificent."
"This is my sister's favourite film, and one of mine!","17 February 2009","7/10","This is a fantastic movie, and I am not lying! my 13 year old sister loves this movie, and I can't fault this either. It was one of the first movies I ever saw, so that accounts for how much I love it. The animation is superb, the backgrounds look so rich, and for once, there are no stiff movements. The highlights were the stampede and the fight between Scar and Simba. The music by Hans Zimmer is outstanding, a perfect mix of African chants and pure Hollywood. The songs are absolutely great, I had no idea that Elton John could write like that. The best song is ""Can you feel the Love Tonight?"" but the others go without fault, ""Circle of Life"" is so spirit rousing especially. Likewise with the voice overs. Jonathan Taylor Thomas is very likable as Young Simba, and Matthew Broderick, while not as good, is above average too. James Earl Jones lends his booming voice to the majestic King Mufassa, and Nathan Lane, Rowan Atkinson and Whoopi Goldberg provide flawless comic relief. The vocal standout is Jeremy Irons as Scar, who frightened me when I was little. Scar is up there with the best Disney villains, like Jafar, Malificent and Frollo. The humour here is fantastic, and you cry here a bit here as well. I highly recommend the stage version in the West End, and the sequels are actually two of the better DTV sequels.10/10. Bethany Cox"
"My favorite cartoon!","29 December 2023","10/10","Legendary and one of the best cartoons in history!!(and for me - the best. My mother even told me that I watched it every day as a child!)The tragic story is really instructive, beautiful landscapes and a very warm atmosphere that is memorable. The prescribed characters and the original idea - all this makes watching interesting for any age.Legendary music, beautiful animation and other things that will make you fall in love with this cartoon.It is very strange if someone has not seen this masterpiece yet. This is the classic that, although no one insists on, but it is desirable to know!"
"good movie","19 October 2015","6/10","Great movie The Lion King is a great film. Along with a great story (inspired by William Shakespeare's Hamlet), terrific animation, and an all star cast of voices, there are the lessons that are learned from this film (despite being a little rough for the younger children). Like responsibility and honor.I rank this animated film among the great films I have ever seen. It was part of my childhood and it is a film experience I will never forget. And hopefully, you won't either. love this movie i will suggest to watch this movie you will enjoy.animals can think they also have feeling and desires they also want to live freely and happily in their own world we should not waste forest and should protect forest"
"Even after 11 Years, it's still the King.","6 June 2005","4/10","I first saw The Lion King in 1994, when I was 8 years old. Ever since then, I have seen it at least 100 times. I have seen it at least that much because I watched it once every week for almost a year and a half.Recently, I became interested in it again, after having seen The Lion King 3 (or 1,5 if you prefer). It kind of surprised me how I was still intrigued and impressed by the whole thing. It was a magical experience that was almost as good as the very first time (I hadn't seen it in years).Everything about The Lion King is so good, that I can watch it over and over again, just like in the old days. The story begins light-hearted and it has a very nice and fun atmosphere. Very stereotypical characters, as always with Disney, but ever so unique in their own way. As the story progresses, it gets very serious, dramatic and sad as well, I actually cried when I saw it the first time (hey, I was 8, give me a break).Then two of the greatest characters in the history of Disney cartoons get introduced. Timon & Pumbaa set a new height considering comedy in cartoons. Again, very stereotypical, but unique in their own way (I loved Lion King 3 because of them).Another thing I absolutely love about this is the awesome music in it. When I was young I didn't pay attention to it as much as I do now, but the music adds so much to the whole movie.It was very obvious, even from just the intro alone, that Disney worked very hard on this masterpiece. I will definitely never forget The Lion King. I still watch it occasionally and I've never been bored.That's another thing I like about this: the songs. Every major Disney picture has a few songs in it and most of the time they are very memorable. It's the same story here, the songs are very memorable and overall just brilliant. ""Circle of Life"" and ""Can't Wait to be King"" will always have a special place in my heart.I knew the entire script of the Dutch dubbed version when I was young, having seen it so many times. Kind of pathetic, I know, but I liked it that much. Still do.The King among Disney Cartoons for me."
"The Lion King review","8 August 2019","NA","The Lion King (1994) is a mixed bag for me. While the first half of the feature was well- executed, the second half somewhat felt too rushed/convenient - which kinda made it less satisfying. That being said, the songs are as always energetic and colourful. The characters are likable, Timon & Pumbaa were amusing, but all the credit goes to Scar especially, he stole the show, both as an entertainer and as a complex villain. Final verdict: It is good but it does suffer from some flaws, but for some reason people keep praising it as if it was a masterpiece. In short, I think it's overrated."
"I was a little disappointed","18 July 2016","NA","OK I know I am probably alone here, but I was a little disappointed with this film. Maybe the hype surrounding it gave me greater expectations, who knows? I thought it was a good plot, (although an overused plot in movies)and some of the characters were really good. But I found parts of the movie boring and the music not up to Disney standards. Elton John got an Oscar I believe, but can't see why.Best parts of the movie are the interactions between Simba and Scar. In fact I thought that Jeremy Irons performance was outstanding.The animation was pretty hit and miss I thought.So sorry TLK fans but I wasn't thrilled by this movie."
"So Good in So Many Ways.","3 July 2002","10/10","Outstanding animated feature from Disney that sports outstanding songs by Elton John, a compelling story and first-class animation. Young lion cub Simba is to be king, but he leaves after he believes he was the reason for his father's death (of course this is not so). As he grows up, he goes on a journey of love, friendship and discovery which will lead him back to his rightful place in the world. Excellent. 5 stars out of 5."
