"Title","Date","Rating","Content"
"Scarcely has a comedy provided its audience with so much insight, intelligence, and human affection","3 January 2013",NA,"""All is well,"" the three ""idiot"" heroes of 3 Idiots recite when they become frazzled or nervous, while frantically tapping their hearts. They know that reciting the oversimplifying phrase will not provide their problems with a solution, or even a catalyst, but it gives them the onset courage they desperately need at a time of uncertainty and despair. One character even tries to use the line after an amateurishly-given birth may have gone terribly wrong. It's times like that when the saying may not be so effective, even if its goal is not to provide certain relief.But all is well, as they so often say. Rajkumar Hirani's 3 Idiots, my introduction to the world of Bollywood cinema, is a comedy-drama unlike any one I've ever seen, long, but never drawn out, frantic, but never desperate, and emotional, but never manipulating. It provides us with three of the most likable characters of the last decade, and with insight to the culture of Indians and their parents. Rarely has a comedy had this big of a brain in its head and a canvas of opportunities in mind, while possessing a title not even fit for a farce.Our title characters are ambitious but stunted Farhan Qureshi (R. Madhavan), jittery, fearful Raju Rastogi (Sharman Joshi), and borderline prodigy Ranchhoddas ""Rancho"" Shamaldas Chhanchad (Aamir Khan), three close friends who attend the Imperial College of Engineering (ICE), one of India's most prestigious colleges where only the best are accepted. The young boys already are facing some of life's greatest challenges, all of them pursuing the field of engineering when the only one who seems to have a passion for the material is Rancho. Farhan was forced to become skilled in the field because of his strict father, and Raju is pursuing the field with the goal of getting his family out of poverty, with his father's expensive health bills, his mother's fragile core, and his sister's inability to marry all on the table. Rancho is studying because he feels that one should pursue passion and make a career out of it, so it doesn't feel like work. If you're passionate and devoted to your work, success will find you - yet this is only one of the countless morals and insights 3 Idiots provide its viewer with.The film chronicles their issues in college in flashback, with instances in the presence popping up to show Farhan and Raju searching for their pal Rancho, who has disappeared and avoided contact for several years now. This is not your typical flashback film, however. It uses this method much to its advantage, and doesn't feel like a narrative within a narrative. It seals both stories nicely, but it takes the viewer on a roller-coaster ride of emotions through carefully constructed events before it even arrives at those endings.One of their problems in college is the professor/dean of the campus, Viru Sahastrabuddhe (Boman Irani), who the three derogatorily call ""Virus"" when his back is turned. Virus is strict and often largely unsympathetic to the problems of his students, which allows the film to explore a dark topic one assumes a comedy wouldn't dare cross paths with and that is the issue of Indian teen suicide. One kid had his father have a stroke, rendering him unable to focus on academics for months, falling gravely behind. Virus is grossly unsympathetic to his case, denying him an extension on a project he's work so unrealistically hard on but can not perfect.If anything, we can say 3 Idiots is a message to the parents of the Indian youth and that is to stop applying pressure to an already stressed out demographic. I've read several articles articulating the point that Indian teenagers are among one of the highest in suicide rates, and that many parents put an unrealistic amount of pressure, duty, and responsibility on the child to the point of a physical and mental collapse. You're given the unalienable freedom to raise your kids with the method you choose, but not every method is perfect, and when your method is one of the ones that leads to suicide, mental health problems, and perpetuates fear and anxiety in the minds of teenagers, then you may want to reevaluate your methods.3 Idiots also provides us with the idea that many Indian children are told what to become in life early and are discouraged from exploration or even personal ambition. This I can't believe. What an unhappy, uninspiring, completely wasted life to slog through everyday doing something you loathe all because it was the lucky career choice of your parents. Yet I'm sure millions have been lead through this same life. It's the worst way of ""living through a person"" that I can imagine.The film runs ten minutes shy of three hours, which for few viewers may seem too long and uncomfortable. I was skeptical myself walking in rather blind. Almost every Bollywood film I've conducted research on seems to run an upwards of three hours, some extending and testing the waters to roughly five hours. If other Bollywood works have characters drawn along the same lines of being relatable, human, and easily accessible and not biased towards race or social class, I can't see it being a struggle to get through any of the industry's films.Through every quick-witted song and dance number, through every comedic scene, through every instance of dramatic despair, emotionally alive moment, solemnly poignant sequence, suspenseful setup, to a lovely, heartfelt conclusion, 3 Idiots is a wonderful, invaluable endeavor in the world of film. Its actors are beautifully fitting for their roles, assisted by a script so human and true to life that it is honestly hard to believe, and captured through beautifully alive cinematography to collectively give us a beautiful package not just in the figurative sense. This is arguably one of the best comedies I've ever seen."
"Good, but they overdid it.","28 December 2009","10","I was eager to watch this movie as the only bollywood films i like are those of aamir khan. When i saw the trailer of the movie, i thought that this movie could be the best of all time in bollywood, but it considerably failed to be. The plot was somewhat interesting , the cast was very appropriate, the acting was superb, the dialogues were wonderful , but the director maybe oozing with overconfidence, tried to put just too much in it. He tried to put it in ALL the good and bad things a teenager should do while he is in college. It was hard to identify the real protagonist in this movie, and even in the end i was left wondering whether raju was the man in the spotlight or aamir. What i hate to watch and hear is a meaningless song with meaningless lyrics and meaningless dance. And thats just what was very prominent in the movie. I don't understand the purpose of such futile non-sense, is it because people like it ? OH REALLY??? or is it because the director finds it attractive? attractive like - cow dung over cake.!? Another flaw i noticed was the change in character of aamir - from when he was a small kid to his teenage years. He looked and behaved like the most innocent one and out-of-all-activities one and later he became the most notorious and daring guy in college. Let the movie be pathetic or super-hit , boman irani was as always at his peak. His character was very well presented and he did just fine enough to make him the funniest as well as the most brutal character in the movie. The movie also had a lot of dramatic, sensitive scenes, at the wrong times, which did at times bring tears in my eyes, and left the other brain-left-at-home audience sob while staring at the screen. I wont say anything about Kareena because there isn't any need to publicize her flaws, there's a need to look for the minimal positivity in her enacting of her cameo. Rest was very appeasing , it was a pleasure to watch nonetheless, and the film was worth watching. 7/10"
"3 hours of stereotypes, melodrama and rehashed jokes from the nineties","29 December 2009","10","I got to see this movie at a special screening before it hit the theaters. The high expectation was palpable. After all, Aamir Khan has been producing successive hits over the years. Now for the movie - which starts in an engineering college in India, goes on to show the lives of three of its students through the years till they graduate. This being a Bollywood film, obviously has a smattering of romance and song and dance sequences. Right from the start where Aamir jaywalks into the college building without a care in the world to the time he starts questioning the teaching methods in class, its just a matter of a couple of days. Some cheeky guy this is! Unfortunately, all his antics and funny lines are as old as the college building he is in. You would have heard these jokes a hundred times over. Anyways, that is the best part of the film since it at least elicits a few laughs. The rest of the 3 hours is filled with stereotypes and melodramatic scenes which are ridiculous at best. It seems that these days in India, anyone who can make the audience cry can laugh all the way to the bank. Aamir has this knowledge and isn't afraid to use it."
"Very good movie!","6 February 2012",NA,"This is the very first time i write a review, mostly because I'm very lazy.However I just watched this film and i gotta admit it...I loved it!!!!At first i was like well ""lets see what this movie has to offer""(btw its also the first Indian movie I've ever seen) and I was like okayits funny and then... like wow so thoughtful and reflexive! It reallymade me meditate about my career and my real dreams! Its a very goodmovie! I'll recommend it to all my friends!You must watch it!All is Well!"
"more than just a laugh...taught me great life lessons as well","1 March 2011","10","I'm from the Philippines. For years, I have always been curious about Indian cinema. I've seen clips of Indian films on cable TV and to be honest...I just don't get it. I don't get all the silly dancing and singing in almost all movies. I find it so corny and irrelevant to the story. But don't get me wrong, Philippine movies back in the 80's were also filled with corny singing and dancing. But we have gone past those and transitioned into movie-making based on good scripts...rather than cheesy story lines. When a friend of mine recommended this movie, I haven't really heard of it. I thought it was a Hollywood release but it wasn't. It was a Bollywood movie. He said it was really funny, so out of curiosity, I got hold of a copy. My first thought was that it was nothing but a silly story of 3 guys doing slapstick comedy that I have all seen before. When they started singing ""All iz well.."" I told myself... I knew it! Just what I thought.But as the movie progressed...I was amazed at the intelligence embedded in this movie. I was so impressed with the smart dialogues delivered by Amir Khan. It was so mature and thought-provoking. The life crisis all of them were in... the pressures at school..the pressures from society and the pressures from family as well... they rang so true. I was even at one time crying my heart out. I can't believe it! All the preconceived notions about a Bollywood movie were obliterated. I was so moved by this picture and I have no regrets seeing it."
"Best moive","14 April 2021","10","Best of all. The way of narrating the story touches the soul in the heart because the college life which we go through it have shown so many rules when it will start imagining in your own real life that is really true in every life we have certain role and we have to go through it."
"If this had come from Hollywood and not Bollywood it might have cleaned up at the Oscars.","26 September 2020",NA,"The title may conjur up images of the 3 Stooges and the crude humour of the opening might suggest a Hindi ""Porky's"" but with a running time of almost three hours ""3 Idiots"" clearly has its mind on higher things. It's a Bollywood buddy-movie devised as an epic and determined to outdo all the competition and being a Bollywood movie is full of large-scale musical numbers as well as a lot of very broad and very funny comedy.The 3 idiots of the title meet as engineering students, become life-long friends but are separated by that old fickle finger of fate. It's also bold enough to deal with such issues as suicide and poverty and, of course, the caste system and is lifted onto an altogether higher plain by a terrific performance from Aamir Khan as 'the idiot' the other two worship and who, naturally, isn't an idiot at all but the sharpest tool in the box and he's brilliantly supported by Sharman Joshi as his potentially suicidal friend and Omi Vaidya as his number one rival. Brilliantly directed by Rajkumar Hirani this is the kind of film Hollywood could learn a lot from and which, had it been a Hollywood film, might well have swept the boards come Oscar time."
"This Christmas & New Year, go gift yourselves - watch this phenomena (Not for Professors) !","25 December 2009","10","I'm an IITian myself and hence, needless to say, was looking forward to this movie as it is based on the life in IITs. I went with my family and watched the first-day-first-show and was I pleased ? In one sentence - The best Bollywood movie ever ! If you are into movies, then this one is not to be missed unless you are the 4th idiot. I cried, I laughed and I enjoyed every moment of the 3 hours that I spent watching this gem. The songs that seemed mediocre before watching the movie, feel like perfect for the movie. They are so ideal for the situations that I just loved them.As you can understand, they could not bring the name of any IIT into the movie to avoid disputes. But trust me, whatever they have shown about the life in IITs, it's all true. Right from suicides, cold-hearted Professors to lack of encouragement and support for talents who can really bring serious change in this world. The movie successfully depicts how once inside, your life is only about meaningless grades, go get into the race before it's too late.Take my free advice and avoid any reviews or words from people who have already seen the movie. Don't let anyone spoil any scene from the movie. Rush to the nearest theater and experience the phenomenon for yourself. You'll bless me for this advice !"
"Aamir has yet again chased excellence & success follows him !","24 December 2009","10","Plot Two idiots Farhan (Madhavan) and Raju (Sharman) sets outs on a journey to find their lost friend and the 3rd idiot Rancho (Aamir).. As the journey starts off, their college life and old memories of their friendship, with a unique free-thinker Rancho who inspired them and changed their lives, are unfolded through flashbacks and followed with some twists and turns...My Views 3 Idiots looks at our educational system which pressurizes the students and does not allow to chose his destination by his own wish, in a satirical way and brings out some of the flaws in it... On parallel there is a love angle between Rancho and Pia (Kareena)... Many of the situations/characters have resemblance or inspiration to ""Five Point Someone"", blockbuster novel penned by Chetan Bhagat...Both humour and emotional quotients are amalgamated in the right proportion, full credits to Raju for that... Film offers lots of quality rib-tickling moments throughout.. The intermission point offers a twist that is totally out of the blue and keeps you hooked to the movie ! Just when you think this feel-good comic caper is leading to its culmination, there is another surprising element at the climax which is brilliantly weaved out by Hirani...Technically, it rocks with astounding and visually arresting cinematography, the aerial shots of Shimla and Ladakh are a pleasant treat for our eyes... Editing was good... Song visualizations were cool... Music was good and well placed with the flow of the narration...Coming to performances, all of them comes out with convincing portrayals, but it is Aamir Khan, the real showman of Bollywood, steals the shows with yet another stellar portrayal and will go down as one of his best performances. His looks and mannerisms as a college student was genuine and consummate.. Madhavan and Sharman adds up with commendable performances... Kareena does her part well... Among the supporting, Boman Irani as the eccentric head of the institution was too good...On the downside, there are some unbelievable filmy situations which can be excused as writer's liberty and the episode of Mona's delivery was a bit far stretched.. Still these minor negatives does not affect this wholesome entertainer ! In short the basic theme of the movie is that ""chase excellence and success will follow"".. Just like that Aamir and Raju has chased excellence and success is following them...So to sum up, Aamir and Hirani has delivered the best movie of 2009... Do yourself a favour by seeing this highly emotional and feel good comic entertainer...Verdict : THE BEST of 2009 ! Rating : 9/10for more reviews of the latest Indian movies, visit www.snehasallapam.com"
"Had Potential but Lacked Execution","16 June 2020",NA,"Unlike many other Bollywood movies, 3 Idiots was enjoyable - at some points.Firstly, the film provides a useful message - do what you love rather than what someone else thinks you should do. It also has a clever and quite unpredictable plot which makes the film certainly watchable.However, the reason for this film's downfall is due to its comedic aspect. The jokes and comedy to this film is super immature and childish and wouldn't make 99% of adults laugh. I genuinely believe that if this film had little to no comedic aspects, or at least a less childish comedic aspect, and was a serious film it could be comparable to Good Will Hunting.Had the potential to be a global success but only succeeded domestically."
"This inspires me to watch more Bollywood movies","20 September 2017","10","Until recently my only exposure to Indian cinema was Satyajit Ray. Like a lot of Americans, my knowledge of Bollywood was based entirely on film clips and American take-offs of lavish musical numbers.I searched a few lists of top Bollywood films and settled on 3 Idiots, which turned out to be a wonderful decision. The movie is terrifically funny and engaging, seamlessly moving from comedy to tragedy to musical numbers.The story centers around a brilliant, iconoclastic technical student who spends the movie telling people to follow their dreams. While generally lighthearted, the movie strongly addresses the apparently terrible stresses on Indian college students. But in spite of some dark moments, overall this is about as feel-good as you can get. Feel-good to an absurd degree? Sure. But what's so bad about feeling good?When I think of Bollywood I think of big musical numbers, and there are a handful here, although they're a tiny part of the three-hour running time. Still, they are tremendous fun.To sum up, I saw a Bollywood movie, I laughed, I cried, and now I want to see more.UPDATE: I saw more. So many good movies out there!"
"Great Entertainer / but Story and Character holes","17 February 2010","10","3 Idiots is way too short a movie, which is simply another way of saying that it is an extremely entertaining movie! Raju Hirani has served an hat trick. Three great movies in a row. Raju has brought his Gandhigiri to the world of education, this time the Gandhian is Rancho.Acting is great by Boman Irani, Sharman Joshi and the best Omi Vaidya or Chatur, without whom 3 idiots would not have been what it is.Its almost impossible to find any significant deviations to excellence when you have a team like this one. Raju, Boman, Aamir, the perfectionist to name a few.But there were a couple of things under the surface that disturbed me a little bit.To start with the easy one, When you anger your senior in the first 5 minutes of entering the college, you know for sure it cannot end there. So from that point of view, the ragging scene mysteriously ends prematurely. Another one is, Boman Iirani or Virus knows Rancho's dad's monthly income but not his address? They spend 10 years searching for him, why didn't they check the college register?Now for some serious ones.I like Aamir Khan movies because you never ever ever see Aamir, you only see the character he is playing, which is exactly how it should be. Unlike Salman Khan and Shah Rukh Khan movies where you see the movie stars instead of their characters (exceptions apply of course, for example in ""Chak de India"" you couldn't find Shah Rukh even if you wanted to). In 3 idiots, I got to see Aamir Khan more than a couple of times and I was surprised. That got me thinking, why would our perfectionist entertainer allow for something like this.The plot thickens and the mystery deepens. Hmmmm. So I dug deeper and eventually hit the gold mine. Its not Aamir, it's his character Rancho which has a fundamental flaw that even Aamir could not overcome. Rancho is projected as someone who loves to learn, he wants to take in every ounce of knowledge he can absorb for any source possible. But his actions are that of a revolutionary, from teaching the director on how to teach to mocking the definitions of machines and books. On one side he is a sponge, an introvert on the other hand he is a rebel, and extrovert. These opposites needed reconciliation in the story.Somewhere along the way, even meanness crept in. I am referring to Chatur's switched speech. Now don't get me wrong, I enjoyed every bit of that scene. But that does not mean that it flowed with Rancho's character. I think the writers mixed up Aamir's earlier characters, Aakash from Dil Chahta Hai would do this in a heartbeat, DJ from ""Rang de Basanti"" would probably go one step beyond, but not Rancho and definitely not for a ""demo"". Rancho is pure, or at least that's what Raju is portraying him. The same goes with the climax. Now, even though, all of us cheered when Chatur got shafted towards the end in a strange twist of fate. Some how I had a hard time believing that filing 400 patents and signing with the Japanese gel well with this Gandhian educator.Aamir, in his interview, mentioned his approach to looking young in the movie. His pacings, mannerisms, style of dialogue delivery etc. He executes brilliantly on them.Madhavan is decent. He could have been much better.Omi Vaidya, or Chatur, is the real find of this movie. Hope to see more from him.One additional aspect which is not easily apparent is that this is one of the few movies that projects intelligence with the coolness it deserves, and not in the traditional Hollywood style of nerd portrayal. This is a better role model for students. Towards that end it is on par with Matrix.To make it clear, this movie is vastly more entertaining than most of the movies of 2009. But I am not comparing this movie with other movies, that would be like comparing apples with windows. I am comparing this to other Aamir and Raju Herani movies. And in that comparison, this does not shine as bright.______________________Now, here's what I would have changed if I was in control.* Raggers are caught by the director and are convinced without any ""pressure"" not to rag any more * Reconcile Rancho's character's fundamental flaw, requires serious deep dive * Motivation for Chatur's speech prank redone, maybe not even instigated by Rancho * Some better reason why nobody can find Rancho * Redo the Javed Jaffery scene where he talks to his dead father, turning the tables to show that Javed actually wanted to take his father to Disney Land but his father kept on insisting that they wait for the highway contract to go thru. That would be hilarious. * Sharman Joshi's family is so central to him but are missing 10 years later, in the starting scene, some how bring them in. Maybe his wife is on the phone talking to his sister, happily married in Bombay, when she yells ""No Pants"".This review was originally posted on my blog: http://roundhayreview.blogspot.com/2010/01/3-idiots.html"
"idiots...a lot of idiots","22 July 2010",NA,"I am writing this very late, even though I saw the movie on the first dayit took a second fast-forward viewing on my laptop to compel me to opine on this film. And since brushing through the comments, I found a lot of good stuff written about it, I'd like to skip over the brownie points the film certainly deserves and focus on what I found sodisappointing.1) sigh, the jokeswhat to say, I actually felt embarrassed listening to them and hear people guffaw on stuff that evoked chuckles in the 70s. 2) over the top scenes which were just not required- Rancho taking a bath in the garden(!) in front of everyone? In most good institutes even walking on the grass is frowned uponn here this chap doesn't mind spoiling the soil with his soapy water. (This is what annoys me about characters portrayed as non-conformists. They confuse it with plain indecency and ludicrousness, like when Patch Adams bared his bottom after getting his degree); n driving the scooter into the hospital itselfwhy couldn't he just stop at the doorway n make it a genuinely good shot??? 3) The timeline was all wrong; did no one do math at primary school? Farhan says they hadn't seen rancho for 5 yrsramalingam returns after 10 yrs to keep the betno one saw rancho after college finishedengineering is 4 yrsthe bet could not have been made before the second semester as they already have had at least one semester exams!!! Simple math will tell you its all goofed up. Kareena kapoor was engaged when these guys were in 1st-2nd yearso she waited 8 years to get married??? If that banker guy was so considerate and patient, he is the real hero 4) Anybody who has lived in hostel with room mates will tell you that in 4 yrs together, you get to know every minute detail about you buddies; these guys didn't even know rancho's hometown! 5) And these supposedly bright engineers and the doctor Kareena don't have even enough brains to look up the college records to find Rancho's address? They could have at least asked Boman Irani, who would have certainly known it considering he knew Chachad's monthly income! 6) Even with that lame, copied joke 'Do you know who I am', they are just ridiculing their own film; is it so difficult for a professor to find three students of a class whose faces he has seen from the college records? A cheeky antic like that would have meant instant suspension in a real IIT. 7) Hirani's idea of ragging is based on the fairy tales boys brag to wide-eyed fifth-graders; you just cant survive in a hostel if you electrocute a senior's winkie on you first day. I'd have loved it had they shown Rancho getting a beating from seniors in return for his actionsit would have truly highlighted the ragging problem. Instead they showed the whole bunch of seniors running scared on seeing a baby-faced fresher with a live wire. 8) And oh, they took the peeing joke too far, too many timesits disgusting. Ramalingam, a VP of some MNC peeing on a school building? Come on 9) I understand that the ridiculous arrangement barred Rancho from keeping in touch with any student from ICSbut what about Kareena? Was his love so shallow he didn't give a damn about her just to honor some crazy vow which didn't even involve her? How are they showing Indian women? She has no self-respect? She runs away from her wedding, betraying a guy who waited 10 years for her to a guy who left her in a heartbeat? And is it unnatural or materialistic to scream if someone spoils your 2 lac wedding dress or loses a 3 lac watch??? Again the problem with execution of an idea; there were a thousand better ways to expose that guy's shallownessbut all what rancho and his pals did was irritate him by damaging his property. 10) And the law breaking, which when done with timing looks good was just taken too fargetting an international flight stopped, fooling a taxi driver who'd probably lose his job, leaking university paper- they are criminal offenses-why do you need to portray new age thinking with a disdain for the law? 11) And finally even if we forget the fact that any decent college has a medical attendant, a health centre and generators always present to accord a movie a spicy climax, hirani spoilt it with the all-is-well cliché. Cant just one thing be normal?"
"3 idiots is a masterpiece and easily one of the greatest Bollywood movies of all time","24 December 2009","9","I saw the paid premiere of 3 idiots today.On the whole, 3 idiots is a winner all the way everythingwise.3 idiots suits the term 'landmark cinema' and has all it takes to help Bollywood take a giant step into world cinema with pride.3 idiots is a sparkling example of qualitative cinema.3 idiots not only entertains, it also enlightens.3 idiots is forward-thinking, but also makes you recall your roots. It promises lots of laughs and also a heartwarming message.There are movies aplenty, but very few remain etched in your memory and possess recall value. 3 idiots is one of those films. Indisputably and undeniably, this Aamir-Madhavan-Sharman outing is worth the price of the ticket and more.The film will set new records and has the merits to emerge one of the biggest hits of all times. The weekend business should be historic, the Week 1 business should be unparalleled, the lifetime gross should be amongst the biggest of all times. In short, 3 idiots has 'Blockbuster' written all over it.The story of 3 idiots has been told differently and most importantly, the story offers so many twists-n-turns that you just can't guess what would unfold next.There's so much happening in every scene and the screenplay is so gripping that you don't feel the need to look at the auditorium ceiling or at your watch at brief intervals. You aren't restless. 3 idiots demonstrates how strong film-making can enhance and elevate an already solid concept.An Aamir Khan film is nothing short of an event. The supremely talented actor acts in one film a year and no two films are ever identical in terms of plot line.To sum up, 3 idiots is commercial Hindi cinema at its best. The film has 'Hit' written all over it. Let me put it this way: Cancel whatever you're doing today and go watch 3 idiots instead.Director Rajkumar Hirani strikes a fine balance between humor and emotions. The comic portions are executed with panache, the drama is attention-grabbing and the emotional quotient is strong enough to turn you moist-eyed. The marriage of humor and emotions as also technique and content is what drives 3 idiots to the winning post."
"NA","NA","9","NA"
"NA","NA",NA,"NA"
"NA","NA","7","NA"
"NA","NA","7","NA"
"NA","NA",NA,"NA"
"NA","NA","10","NA"
"NA","NA","10","NA"
"NA","NA",NA,"NA"
"NA","NA","7","NA"
"NA","NA","7","NA"
"NA","NA",NA,"NA"
"NA","NA","5","NA"
"NA","NA","5","NA"
"NA","NA",NA,"NA"
"NA","NA","9","NA"
"NA","NA","9","NA"
"NA","NA",NA,"NA"
"NA","NA","8","NA"
"NA","NA","8","NA"
"NA","NA",NA,"NA"
"NA","NA","10","NA"
"NA","NA","10","NA"
"NA","NA",NA,"NA"
"NA","NA","10","NA"
"NA","NA","10","NA"
"NA","NA",NA,"NA"
"NA","NA","10","NA"
"NA","NA","10","NA"
"NA","NA",NA,"NA"
"NA","NA","10","NA"
"NA","NA","10","NA"
