Title,Date,Rating,Content
Don't confuse this movie for its sequels- this one's actually good,27 March 2020,7.0,"The Saw movies tend to get a pretty bad rap. Most people think of them as senselessly violent and overly gory torture fests with no actual interesting plots or characters. Granted, some of the movies are like that. But, when you watch this 2004 original, leave those expectations at the door, because this movie is just a genuinely good thriller and mystery.This movie has an intriguing premise of two strangers waking up in a room, handcuffed to pipes. As the move progresses, this mystery unfolds as we learn more and more about these two characters and about the situation that they are in. There are many twists and turns as the movie unfolds, but they never feel forced. These twists feel organic and are truly shocking. Because of this, I don't think of this movie really as a horror movie. It feels more like a mystery thriller, and it draws you into its premise. However, it is a very tense movie and there are some frightening scenes, so it does succeed as a horror movie as well.If gore is the main thing keeping you from watching this movie, I would give it a try. Granted, there is gore in this movie, but it's not nearly as much as you would expect from a movie these days with Saw in the name. The gore is never intrusive or over-the-top, and it certainly is never meant to be the point of the movie. If you cannot watch gore at all, there may be a couple of scenes where you'll want to close your eyes, but there is still so much to enjoy from this movie outside of those moments."
"Sicko movie, Go!",31 January 2005,7.0,"A sicko movie whose nastiness is almost topped by its weirdness...so obviously any true horror fan worth their salt needs to seek it out! The story is about a surgeon and a photographer who wake up and to find themselves shackled at opposite ends of a nasty-looking toilet. Don't want to say too much but plenty of ugliness ensues. This movie has the perfect mix of scares and a really bizarre plot. The movie's got a decent budget for an indie horror (a little over a million, i think) but it's pretty small for a film that got such a big release. I hear it made a ""killing"" at the box office, so TAKE NOTICE Hollywood! People want to see this stuff. Go!"
I +Saw+ it last night,11 June 2005,8.0,"""Saw,"" a film that was originally planned for a straight-to-video release but after receiving positive nods at test screenings, was finally given the green light in October 2004 - just in time for Halloween. ""Saw"" contains one of the those plots that shows you everything it's got up its sleeve, then doubles-back on itself three-fourths of the way through and reveals something entirely new.It's not hard to see why this almost hit the straight-to-video fodder list. I mean, people will closely observe that it obviously contains the traits of its successors, namely ""Seven"" (1995), and that may be all the ammunition the haters will need to trash it. Already, I see that the IMDb voters have averaged ""Saw"" a 7.5, with those people who have rated it with an ""8"" or a ""10"" being neck-and-neck at the polls.But I begin with reassurances that ""Saw"" is a genius thriller, if not entirely original or daring. The film does its best to exploit the claustrophobia and mounting tension that collects as it progresses. ""Saw"" will also make you think twice about bladed objects as well.Ironically, the title has very little to do with plot, as there is no chainsaw-wielding maniac on the loose as the ghastly cover art of a severed foot would imply. The only saws here are the ones the two main characters Lawrence (Cary Elwes) and Adam (Leigh Whannell, also the film' screenwriter) have been given.The two men awaken to find themselves chained to lead pipes in a decrepit public bathroom. In the middle of the floor, is a dead body that's surrounded in a pool of its own blood, with a gun in one hand and a tape recorder in the other. As it would turn out, they're the latest victims of a serial killer known as the ""Jigsaw Killer.""Jigsaw has a nasty little way of torturing his victims by trapping them in a situation where they have to kill if they want to survive. As Lawrence explains, technically Jigsaw is not a killer, simply because he hasn't killed anyone; the victims do that for him. As one fortunate victim observes, who survived her ordeal, she is bound to a chair with a reversed bear trap-like device strapped to her head with pliers wired into her upper and lower jaws. A timer is on the device and if she does not locate a key before it runs out, her mouth will be ripped open and no more pretty face. In order to get out, she must open up the stomach of a dead man lying on the floor next her to get the key.As Jigsaw ever so carefully points out to his victims, he doesn't just choose them at random. To him, they're all perfectly immoral individuals and he uses their immorality to set up horrific situations where the victim rarely survives the trap; in essence, life is its own reward because Jigsaw's victims don't value it, as he explains to the one young woman lucky enough to fight through his plan. Also on the case of Jigsaw, are two detectives Tapp (Danny Glover) and Sing (Ken Leung), who bring forth the news of Jigsaw's previous victims in one particularly gruesome flashback sequence.Lawrence is pretty well aware of the case of Jigsaw, as even once he was considered a suspect by the police. As you would have it, Adam is not especially trustful of Lawrence being that he seems to know a lot and is not reporting many details to him. They realize, however, that if they are going to survive this nightmare, they're going to have to play into Jigsaw's game, observe the clues he's willing to give them, and ultimately make it out alive.""Saw"" was directed admirably by James Wan and written by Whannell, who also makes an effective victim alongside Elwes. Elwes, a highly underrated actor, is given a chance to shine here, even though this really isn't an actor's movie, as it is more in the hands of the director. However, we do get a sense of the desperation of the two leads, who soon realize that they're not the only ones trapped in this madman's game.""Saw"" does benefit from its moody atmosphere, which may cover up any of the film's shortcomings. Towards the end, it does lose pace a little bit as things seem to be spiraling down the haunted house route, but quickly regains momentum as it draws to a close. I know that despite its flaws, I was glued to the seat and really ""in"" the film's tight tension, which thankfully doesn't let up.Is ""Saw"" a genre classic? Certainly. Is it a classic like ""Seven""? I don't know. There's a lot to consider when pondering a question with so much baggage like that one. I liked it, but I'm not so sure about the news that a sequel is in the works. This seems a lot like a stand-alone-type movie, that of which doesn't need to get bogged down by the weight of unnecessary sequels.8/10"
Very good,13 October 2021,8.0,"This movie is a very good and one of the best thrillers and one of the most interesting and tense ones. Very unique story line and extremely tense and entertaining, it kept me guessing what is going on and how are things going to go. Very well done story and directing, good acting, great effects, and a great twist. Very well done and entertaining."
A puzzling game worth playing,24 November 2017,7.0,"Finally saw all the 'Saw' films prior to seeing 'Jigsaw' (as part of my wanting to see as many 2017 films as possible this year, during a quieter and less intensive period). Heard a lot about the films, good and bad, but wanted to see them for myself to know what to expect.The films as an overall series are a very mixed bag. The first 'Saw' is very problematic but is one of the better films of the 'Saw' series. It is very easy to see why people will dislike it, and no it is not because of the full throttle horror-like elements that are not for the faint hearted. Some of the story is ridiculous with large lapses in logic, Danny Glover's character's actions will have one screaming in frustration at the television screen. Some of the script is tight, other parts are half-baked and silly and Elwes' character's back-story had some taut tension but that it had some melodramatic parts with frustrating character behaviour.Some of the acting is not good. Cary Elwes seems to be thinking like he's acting in a very over-heated melodrama that would have been out of date even in the period when they were in fashion. Danny Glover's performance is also a mess, with a mix of over-compensating and not looking interested. Even for the film's mood, some of the editing is chaotic.However, for a film that didn't have a high budget 'Saw' visually doesn't look too bad on the whole, effective even. There is a real sense of unsettling claustrophobia induced in the lighting, setting and photography. Music has its eeriness.Not everybody fares badly in the acting. Michael Emerson has an unnerving presence and Monica Potter and Leigh Whannell also do a decent job. Then there is Tobin Bell, not easy to forget him after this film. James Wan does more than competently in the director's chair, even with the inexperience.Despite its ridiculousness, the story is also edge-of-your-seat and highly atmospheric. There is genuine dread, some truly imaginative traps and kills and much of it throughout is disturbing and creepy. 'Saw' is notable in particular not just for the traps/kills but also for its bold twists, the character of Jigsaw (the modus operandi, impulse and justification setting him apart from most characters of his type) and an unforgettably shocking ending.Overall, very problematic but effective. 7/10 Bethany Cox"
BRILLIANT,23 October 2018,7.0,"I love this movie man. I just love everything about it. Not only does this movie create an extremely tense atmosphere from start to end, it has plenty of gore and violence to bombard your eyes, not to mention that ENDING. Man I LOVE that ending. With unknown actors and they all did and incredible job acting in these types of situations. This film was, in my opinion, exciting, thrilling, and an overall entertaining film to watch. It delivered the necessary chills, to keep its audiences fully awake, and engaged. This was an enormous achievement for both James Wan, and Leigh Wannell. The two have created a well-deserved horror/thriller, without the necessary cliches. The film is incredible and it start from Saw 2,3,4,5,6, Final Chapter, Jigsaw, and now in 2020 Spiral. I don't care what anyone says Saw is the best of the series and the best horror movie ever. 10/10. Love it."
Unlikelihoods,22 October 2005,10.0,"The main problems of 'Saw' are related to the tremendous script mistakes that only a uncritical spectator will just obviate. The main question is what's is the purpose of the killer in his lying in the middle of the floor? The film tries to show that the killer's aim is to cause evil and destruction in his victims, he loves to play with the lives of other people and to feel control over their the fears and debilities. So why does he just pretend to be dead between the two main characters? A tremendous unlikelihood: can a man pretend to be dead for more than one or two hours without moving a single muscle or even without breathing in order not to be discovered by two men who are in the same room? It has not sense at all except to be the final (d)effect of the movie. The killer seems to have always the control along the plot and if it's lying like a dead body this can't be possible. Finally, it doesn't work. The right place for the killer should have been a darker and untouchable shadow behind the false shadow (the male nurse) but not the floor of the white room. The director shouldn't have showed the killer's face and maybe the site where he is hidden. Then, the film would be a quite good thriller. However, 'Saw' is just a fiasco. Hitchcock, please, come back."
I loved it,10 February 2005,10.0,"Movies like Saw are the ones that makes us believe in the horror genre. It is because of such movies we like to see horror/thriller movies. Let me tell you that after watching Saw I wanted to buy the ticket and watch it again because after a long time I got to see a real gripping and tightly directed horror movie. The movie is very exciting and has a lot of goosebumps. However, if you are a faint of heart please do not see this movie as it has a lot of gore/violence in it which will make you jump out of your seat. I just can't wait for the DVD to come out as I really want to buy it. My recommendation to all of you is to watch Saw and have a good time like I did. Also, the movie has a great twist. 10/10"
An Ending You Will Not See Coming!,6 May 2020,10.0,"My favorite franchise of all time...
Starts out with two regular Joes stuck in a random grousome room. Movie gradually becomes exponentially more interesting as the plot unfolds, leading to (in my opinion) the most interesting serial killer of all time. One really frightening scare and phenomenal acting."
Saw (2004),13 March 2005,10.0,"A delightful little horror/thriller, whichever you like, with an interesting set-up. Two men wake up in a bathroom, chained to pipes, with a dead body between them. The two then work on a way of getting out of their, while one of them recalls an investigation from five months ago. Some of the ideas in this film are morbidly brilliant, such as the ways in which the killed ""kills"" his victims. The razor wire, and the combination on the safe being two priceless moments. You may have already noticed however that this film borrows heavily from ""Se7en"", with original ways of killing victims, the whole purification of the victims, a scene where two cops nearly catch the killer and the overall dark and macabre feel. This is in no way an insult towards the film, as it does have enough originality to keep you interested, and if you are going to borrow from any dark serial killer thriller, make it ""Se7en"". Cary Elwes and newcomer Leigh Whannell are the two unfortunate souls stuck in the khazi together, and start off suspicious of one another and then forming a rather endearing bond. Things get a bit too intense for Elwes at the end, meaning he loses all rational thought, and starts screaming and shouting but with a high level of authenticity making the film very almost 'moving'. Some characters seem pointless in the film, and a lot of situations are shoved in purely for red herrings sake. Some of the actors are just underused, such as Danny Glover, which is a shame because apart from his character being pointless, he is very good. The film is good for at least a few watches, the first racking your brain to work everything out, the second to see what you missed and even after that it is still enjoyable. Do not expect anything too different, but with a little low budget class. Wan is a brilliant first time director, never showing too much (could blame the budget) gore, and keeping the tension high. He dos however give in to some music video techniques with spinning cameras, screaming heavy metal, and sped up footage. We can ignore this though, because we just want a dark, spooky and bizarre horror with more than a few memorable set-ups."
One of the Most Unique and Grisly Thrillers In Recent Memory.,11 December 2004,10.0,"""Saw"" is one of the better horror films in recent memory. I suppose it's more of a thriller than horror, although it still is gory and serves well on a horrific level. It's sort of a cross between ""Se7en"" and ""The Silence of the Lambs"" I'd say, and the film is pretty damn good. ""Saw"" opens with two men who wake up in a dilapidated public restroom with no memory of how or why they are where they are. Chained to the floor, they are both utterly confused and terrified. Together, they begin to piece together the memory of what happened to them as the serial killer, nicknamed Jigsaw threatens them and plays numerous mind games that lead up to their demise. Meanwhile, detectives and officials are on the trail of the brutal serial murderer, trying to save the men the entire time.This is definitely a smart thriller and it will have you on the edge of your seat from the very beginning to the bloody, limb-severing conclusion. The characters are extremely believable and the acting was great, including performances by Carey Elwes, Monica Potter, and Danny Glover. Everyone performed perfectly and were very believable to watch. The entire movie has a dark, damp setting, and is overloaded with intense scenes and lots of gore, that are sure to please any horror fan. On top of that, the cleverly-woven story is unique and underived. James Wan does an excellent job, especially considering this to be his first feature film. I can't wait to see some his future stuff.Bottom line - ""Saw"" is a smart, grisly, unforgiving, all-around brutal horror movie that is unique and original. If you are looking for a horror movie a notch above your average slasher flick, I advise you see ""Saw"". 9/10."
love this movie,1 July 2021,7.0,When this came out there was not really anything like it and the ending was just nuts when Tobin Bell stands up OMG my jaw hit the ground the 1st time i saw this.
Original terror movie that originates a successful franchise,20 July 2009,7.0,"Two men(Cary Elwes, Leigh Whannell also screenwriter) wake up in a dirty bathroom tied by their ankles to pipes. Between them appears a dead man , near lies a tape-player and a pistol. Both play some tapes which find in their pockets. One must murder the other or his wife and daughter will die. Meanwhile Detectives(Danny Glover,Ken Leung, Dina Meyer) and another people must avoid deadly traps that a sinister character has set on the way.This exciting terror movie contains horror, suspense, thrills, chills and lots of blood and gore . The picture takes accent on tension as well as a well-knit script full of twists and turns.It packs eerie images-shock , slick edition and nail-biting pace. The movie is well starred by Tobin Bell, a support actor working in television and cinema from the 80s. Frightening and stirring musical score by Charlie Clousier and colorful cinematography by David Armstrong, both of whom are usual of franchise. The motion picture is stunningly directed by James Wan.It's followed by Saw II by Darren Lynn Bowman with Glenn Plummer , Enmanuel Vaugier, Donnie Wahlberg; Saw III by Darren Bowman ; Saw IV ; Saw V and in -production Saw VI, repeating similar players as Betty Russell, Shawnee Smith, Costas Mandaylor and of course Tobin Bell."
Finally a B-grade horror film that scares and surprises! Great stuff,9 December 2004,9.0,"Two men awake in a white-tiled fluorescent-lit room, chained to opposite walls, a dead body between them. The only clue as to how they got there is a recorded message. Gradually they realize they have been targeted by serial killer Mr Jigsaw.What's interesting about Mr Jigsaw is that he's the kind of crazy who likes to teach his victims lessons and test their intelligence. Although there's not a lot of gore in this relatively unusual hybrid of psychological thriller and horror, Saw is genuinely terrifying in moments, and merely stressful the rest of the time. The wire jaw lock is particularly memorable. The uneven acting of the cast  Cary Elwes is particularly overblown  doesn't detract, it just makes Saw more of a B-film indulgence.Director James Wan and screenwriter Leigh Whannell (who also stars), both from Melbourne, have scored an international hit with this film, which went to No. 1 at the UK box office and to No. 3 in the USA. A sequel has been announced for 2005.Even if you're not easily scared, don't see Saw alone, particularly at night. ***1/2/*****"
Poor,23 April 2005,9.0,"So I just watched this movie (I won't even make the effort to use the obvious pun here), and I am scared. Scared of bad acting, bad editing, poor plot. Two guys wake up in a shitty bathroom, tied to opposite corners by chains, nothing on them but their clothes and some tools they might need to survive, but haven't figured out how to use yet. In the beginning, I instantly thought of a CUBE-like setup, and was really looking forward to seeing it. But, as the story evolved more and more, I realised there was not much to it. A big chunk of this movie is told in flashbacks, to somehow ""justify"" why the two guys ended up there, how they are connected, and why the killer is acting the way he is (although, in the long run, I still can't quite explain why you have to kill people to show them how cool life is. Or why it makes you that insane and brilliant at the same time so that you have nothing better to do than set up strange traps that make people kill themselves, or why you start to enjoy watching your masterpiece of psychological torture-cabinet lying on the bathroom floor with your eyes closed, pretending to be dead. Ah, right, for the *surprise* ending. I forgot.) Everything is thought-out halfway, but that's where it ends. I mean, the story has potential, it could've made a really great movie, but they just ruined it to give them a platform to show off. ""Huh, yeah, see what I can do. I can use speed-up pictures and ultra-shaky camera. I bet you never saw this before, right?"" Right, right. Never. So, the standard tools to make a movie look young and fresh, again. What else do we need for a nice horror/slasher movie? Right, cliché! Lots of it. And the main thing that really makes me mad is this ""Stupid Victim"" Syndrome. ""Hmmm. This guy just wanted to kill me, but now I have the gun...what should I do? Yeah, talk to my husband on the phone instead of shooting him (at least in the legs)."" Seriously, this scares the hell out of me. Can't ANYBODY please write a script that has ""normal-acting"" victims in it? Like, shooting the guy? Sorry, but this was a quite boring movie with bad acting and a poor script (though the idea was great). Yeah, poor. That sums it up quite well."
"They came, SAW and altered (Horror Movies)",24 February 2008,7.0,"I haven't seen the original short movie yet (titles SAW as well), but with this feature length effort, a change has been made in Horror movie history. A new sub-genre was born (some call it ""gorno"", because of the explicit gore it has in it)! Many movies tried to copy the formula, but didn't have financial success. Saw on the other hand, is a brand name now. A 5th saw movie will come out later this year (and more are yet to come).But let's talk about this original, that lays some seeds for the other movies to follow. We get the rules to which the character have to play (the general idea) or let's say the concept. It will keep you guessing from beginning to the end, what is going to happen. And although I like the other Saw movies as well, none of them achieved the tension that this one build up! Apart from the gore you'll get a thrilling experience as well! I can only recommend it (as many others do here too)"
